Re,R_eta,percentile,capacity_median,capacity_ci_lo,capacity_ci_hi,realisation_median,realisation_ci_lo,realisation_ci_hi,n_groups,n_targets
433,25.0,50.0,2.4831511,2.2188175,2.8031007,0.44363351,0.40073916,0.50811092,12,2400
433,25.0,99.9,4.4398648,3.771031,5.0357834,0.65857013,0.55951922,0.73942701,12,2400
433,35.0,50.0,4.6999191,4.1810079,5.3166631,0.69106913,0.62703431,0.80826014,12,2400
433,35.0,99.9,7.9144335,6.7220704,8.8694675,1.0024631,0.85259344,1.1036481,12,2400
433,50.0,50.0,7.1396164,6.3759986,8.1505715,0.84885218,0.74303276,0.96566693,12,2400
433,50.0,99.9,11.388482,9.6351723,12.862303,1.1555746,0.98309821,1.3075803,12,2400
433,60.0,50.0,8.405315,7.539926,9.6206089,0.90944428,0.7967828,1.0344231,12,2400
433,60.0,99.9,13.043782,11.17507,14.739574,1.2180548,1.021044,1.3564221,12,2400
611,25.0,50.0,8.8473821,7.2175613,10.724579,1.5809336,1.3796961,1.8701068,12,2400
611,25.0,99.9,12.91225,11.169683,14.686427,2.0385102,1.7145984,2.3542123,12,2400
611,35.0,50.0,16.84824,13.669729,20.616594,2.4778891,2.1570579,2.8694888,12,2400
611,35.0,99.9,23.507303,20.02108,26.385832,3.0681907,2.6075805,3.5383893,12,2400
611,50.0,50.0,25.731709,21.048717,31.232156,2.9476532,2.5334292,3.4704568,12,2400
611,50.0,99.9,34.196446,28.490152,37.617875,3.6805783,3.2854332,4.1436284,12,2400
611,60.0,50.0,30.419407,24.706288,36.531838,3.1925451,2.7170973,3.7047132,12,2400
611,60.0,99.9,39.385995,32.801866,43.422859,3.9180408,3.5478508,4.3075097,12,2400
1300,25.0,50.0,20.34986,18.098045,22.967271,3.6881081,3.1808282,4.3303127,12,2400
1300,25.0,99.9,32.041415,25.91731,38.329384,4.5697996,3.6571631,5.4691317,12,2400
1300,35.0,50.0,38.680439,34.385562,44.049544,5.8625353,5.2424378,6.8259489,12,2400
1300,35.0,99.9,57.925916,46.884321,68.487676,6.7867003,5.4984323,8.344466,12,2400
1300,50.0,50.0,58.79371,52.086618,67.787151,7.4147103,6.5445095,8.2222836,12,2400
1300,50.0,99.9,83.755821,67.511007,97.924031,7.8565827,6.393022,9.796613,12,2400
1300,60.0,50.0,69.012039,61.71859,79.180094,7.7592454,7.0213635,8.7436272,12,2400
1300,60.0,99.9,96.170682,77.605902,111.76594,8.3489625,6.6438381,10.479854,12,2400
