Re,R_eta,percentile,far_total_share,ci_lo,ci_hi,n_groups,n_targets
433,25.0,50.0,0.17716031,0.16164424,0.19003447,12,2400
433,25.0,99.9,0.090543865,0.082638093,0.097879313,12,2400
433,35.0,50.0,0.26549949,0.24769153,0.2895532,12,2400
433,35.0,99.9,0.13485474,0.12297664,0.14408139,12,2400
433,50.0,50.0,0.32633756,0.30040034,0.35781157,12,2400
433,50.0,99.9,0.15854806,0.1420405,0.17072946,12,2400
433,60.0,50.0,0.35733679,0.32167602,0.39409926,12,2400
433,60.0,99.9,0.16346948,0.1485586,0.1783214,12,2400
611,25.0,50.0,0.18610243,0.1703768,0.20181701,12,2400
611,25.0,99.9,0.084564759,0.073116866,0.093294924,12,2400
611,35.0,50.0,0.28618229,0.26214424,0.3216735,12,2400
611,35.0,99.9,0.12794736,0.11341685,0.1417894,12,2400
611,50.0,50.0,0.34217343,0.30967157,0.38787012,12,2400
611,50.0,99.9,0.15979652,0.14218014,0.17220575,12,2400
611,60.0,50.0,0.36133242,0.32993576,0.40608767,12,2400
611,60.0,99.9,0.16880862,0.14996943,0.18250589,12,2400
1300,25.0,50.0,0.17861556,0.16465771,0.19422622,12,2400
1300,25.0,99.9,0.076546865,0.067950421,0.087952546,12,2400
1300,35.0,50.0,0.28392392,0.26225982,0.31079367,12,2400
1300,35.0,99.9,0.11168979,0.099203343,0.12812469,12,2400
1300,50.0,50.0,0.338926,0.30475951,0.39257964,12,2400
1300,50.0,99.9,0.13397504,0.11525859,0.15860624,12,2400
1300,60.0,50.0,0.3702114,0.33158199,0.42747387,12,2400
1300,60.0,99.9,0.14616475,0.12225367,0.17355149,12,2400
