Re,R_eta,percentile,far_total_share,ci_lo,ci_hi,threshold_mode,n_groups,n_targets
433,25.0,50.0,0.16717635,0.15619517,0.18083284,pooled,12,2400
433,25.0,99.9,0.092730361,0.087104666,0.098220129,pooled,12,2211
433,35.0,50.0,0.27482667,0.2535519,0.29412618,pooled,12,2400
433,35.0,99.9,0.13832653,0.12987692,0.15402473,pooled,12,2211
433,50.0,50.0,0.33302408,0.30899883,0.36626548,pooled,12,2400
433,50.0,99.9,0.16447483,0.14999185,0.18806476,pooled,12,2211
433,60.0,50.0,0.34854869,0.31645866,0.38333174,pooled,12,2400
433,60.0,99.9,0.16913621,0.15261686,0.18485711,pooled,12,2211
611,25.0,50.0,0.1737743,0.15723817,0.19092182,pooled,12,2400
611,25.0,99.9,0.072480742,0.065132991,0.084669699,pooled,9,1800
611,35.0,50.0,0.27412498,0.24849943,0.29521373,pooled,12,2400
611,35.0,99.9,0.10563365,0.090905169,0.1214365,pooled,9,1800
611,50.0,50.0,0.33190165,0.29981723,0.36062976,pooled,12,2400
611,50.0,99.9,0.13052366,0.11122866,0.15430349,pooled,9,1800
611,60.0,50.0,0.35832172,0.31923773,0.38498923,pooled,12,2400
611,60.0,99.9,0.14010513,0.12054949,0.16315158,pooled,9,1800
1300,25.0,50.0,0.1879445,0.16890577,0.21206196,pooled,12,2400
1300,25.0,99.9,0.071594516,0.057731728,0.085499071,pooled,12,2212
1300,35.0,50.0,0.2875131,0.25647705,0.33898833,pooled,12,2400
1300,35.0,99.9,0.1099738,0.089129366,0.1302659,pooled,12,2212
1300,50.0,50.0,0.35112533,0.31438449,0.39540624,pooled,12,2400
1300,50.0,99.9,0.13019274,0.10901106,0.15351477,pooled,12,2212
1300,60.0,50.0,0.35864633,0.32361319,0.41542287,pooled,12,2400
1300,60.0,99.9,0.13955606,0.11848026,0.16024673,pooled,12,2212
