Re,R_eta,percentile,Cfar,ci_lo,ci_hi,grad_order,n_groups,n_targets
433,25.0,50.0,0.17604075,0.15810637,0.19999748,6,3,600
433,25.0,99.9,0.15684598,0.13377614,0.16943505,6,3,600
433,35.0,50.0,0.14918848,0.13525641,0.16552358,6,3,600
433,35.0,99.9,0.13353633,0.11216436,0.15249749,6,3,600
433,50.0,50.0,0.12355983,0.11106071,0.13409745,6,3,600
433,50.0,99.9,0.10616841,0.090603143,0.12054226,6,3,600
433,60.0,50.0,0.10835239,0.09904382,0.12341356,6,3,600
433,60.0,99.9,0.094473245,0.083244554,0.11049575,6,3,600
611,25.0,50.0,0.16662995,0.14814325,0.2036734,6,3,600
611,25.0,99.9,0.13902556,0.10670755,0.17798832,6,3,600
611,35.0,50.0,0.14914067,0.12281956,0.16988723,6,3,600
611,35.0,99.9,0.13220834,0.096715818,0.15805326,6,3,600
611,50.0,50.0,0.1146285,0.10367013,0.12924034,6,3,600
611,50.0,99.9,0.10761417,0.08788414,0.12470174,6,3,600
611,60.0,50.0,0.10137333,0.091958464,0.11709644,6,3,600
611,60.0,99.9,0.095089693,0.079193836,0.12085831,6,3,600
1300,25.0,50.0,0.18972308,0.17098515,0.20824951,6,3,600
1300,25.0,99.9,0.14542307,0.13038805,0.17662317,6,3,600
1300,35.0,50.0,0.15316415,0.14269207,0.16804929,6,3,600
1300,35.0,99.9,0.12149314,0.09543863,0.14194265,6,3,600
1300,50.0,50.0,0.11417611,0.09700648,0.13215771,6,3,600
1300,50.0,99.9,0.090412013,0.070624031,0.11542142,6,3,600
1300,60.0,50.0,0.10094521,0.088053841,0.11183178,6,3,600
1300,60.0,99.9,0.082312388,0.059198311,0.11186346,6,3,600
