Re,R_eta,percentile,Cfar,ci_lo,ci_hi,threshold_mode,n_groups,n_targets
433,25.0,50.0,0.18339309,0.17159844,0.19811724,pooled,12,2400
433,25.0,99.9,0.15328212,0.14501051,0.16008558,pooled,12,2211
433,35.0,50.0,0.15368972,0.13902186,0.16627092,pooled,12,2400
433,35.0,99.9,0.12904825,0.1209934,0.13549556,pooled,12,2211
433,50.0,50.0,0.12068262,0.11226867,0.13202415,pooled,12,2400
433,50.0,99.9,0.10433938,0.095632622,0.1126442,pooled,12,2211
433,60.0,50.0,0.10733905,0.099066599,0.11501915,pooled,12,2400
433,60.0,99.9,0.095276253,0.086982222,0.10321429,pooled,12,2211
611,25.0,50.0,0.18269903,0.16952373,0.19695348,pooled,12,2400
611,25.0,99.9,0.14687935,0.13320214,0.1634103,pooled,9,1800
611,35.0,50.0,0.1552166,0.14291703,0.16522945,pooled,12,2400
611,35.0,99.9,0.12273976,0.10675343,0.13507629,pooled,9,1800
611,50.0,50.0,0.12392741,0.11370435,0.13318987,pooled,12,2400
611,50.0,99.9,0.10300581,0.092800673,0.11616933,pooled,9,1800
611,60.0,50.0,0.10858443,0.10203197,0.11824551,pooled,12,2400
611,60.0,99.9,0.094291165,0.083481248,0.10625561,pooled,9,1800
1300,25.0,50.0,0.18889118,0.17722136,0.20203939,pooled,12,2400
1300,25.0,99.9,0.14038494,0.12121827,0.15761868,pooled,12,2212
1300,35.0,50.0,0.15846852,0.14683196,0.17221846,pooled,12,2400
1300,35.0,99.9,0.11541554,0.10371857,0.1305888,pooled,12,2212
1300,50.0,50.0,0.12039164,0.11222422,0.13138445,pooled,12,2400
1300,50.0,99.9,0.096529913,0.085785885,0.10761683,pooled,12,2212
1300,60.0,50.0,0.10900386,0.099998842,0.1194815,pooled,12,2400
1300,60.0,99.9,0.088190538,0.078632897,0.097450954,pooled,12,2212
